title,destination,original_price,discounted_price,currency,travel_start,travel_end,booking_url,description
Paris Getaway Package,Paris,France,899,499,USD,2025-06-01,2025-06-07,https://example.com/paris,"Amazing 6-day Paris adventure with Eiffel Tower tour and Seine cruise"
Tokyo Adventure,Tokyo,Japan,1299,799,USD,2025-07-15,2025-07-22,https://example.com/tokyo,"Experience the best of Tokyo with guided tours and traditional cultural experiences"
London Escape,London,UK,699,399,GBP,2025-05-10,2025-05-17,https://example.com/london,"Historic London tour including Tower of London, Buckingham Palace, and West End shows"
Bali Paradise,Bali,Indonesia,1499,899,USD,2025-08-20,2025-08-27,https://example.com/bali,"Tropical paradise with beach resort, spa treatments, and temple tours"
New York City Break,New York,USA,1199,699,USD,2025-09-05,2025-09-12,https://example.com/nyc,"Big Apple adventure with Broadway shows, Statue of Liberty, and Central Park tours"
Rome Historical Tour,Rome,Italy,999,599,EUR,2025-10-15,2025-10-22,https://example.com/rome,"Ancient Rome experience with Colosseum, Vatican, and authentic Italian cuisine"
Dubai Luxury,Dubai,UAE,1899,1199,AED,2025-11-01,2025-11-08,https://example.com/dubai,"Luxury Dubai experience with Burj Khalifa, desert safari, and shopping festivals"
Sydney Harbour,Sydney,Australia,1599,999,AUD,2025-12-10,2025-12-17,https://example.com/sydney,"Australian adventure with Opera House, Harbour Bridge, and Bondi Beach experience"
Barcelona Beach Break,Barcelona,Spain,799,499,EUR,2025-06-15,2025-06-22,https://example.com/barcelona,"Mediterranean beach vacation with Gaudi architecture and tapas tours"
Amsterdam Canal Tour,Amsterdam,Netherlands,899,599,EUR,2025-07-20,2025-07-27,https://example.com/amsterdam,"Scenic canal tours, museum visits, and Dutch cultural experiences"
Bangkok Temple Tour,Bangkok,Thailand,699,399,USD,2025-08-10,2025-08-17,https://example.com/bangkok,"Buddhist temple visits, street food tours, and traditional Thai massage"
Singapore Stopover,Singapore,1099,699,SGD,2025-09-15,2025-09-22,https://example.com/singapore,"Modern city experience with Gardens by the Bay, Marina Bay Sands, and hawker food"
Hong Kong Adventure,Hong Kong,999,699,HKD,2025-10-20,2025-10-27,https://example.com/hongkong,"Urban exploration with Victoria Peak, street markets, and dim sum tours"
Los Angeles Hollywood,Los Angeles,USA,1399,899,USD,2025-11-10,2025-11-17,https://example.com/losangeles,"Hollywood tours, celebrity homes, and Universal Studios experience"
San Francisco Bay,San Francisco,USA,1199,799,USD,2025-12-05,2025-12-12,https://example.com/sanfrancisco,"Golden Gate Bridge, Alcatraz tour, and Napa Valley wine tasting"
